;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"Vittime di omicidio secondo la relazione con l'omicida e il sesso per regione
Anno 2020 (a) (valori assoluti)";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
"REGIONI
RIPARTIZIONI GEOGRAFICHE";MASCHI;;;;;;;FEMMINE;;;;;;;TOTALE;;;;;
;"Partner o ex  partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale;;"Partner o ex partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale;;"Partner o ex partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale
;;;;;;;;;;;;;;;;;;;;
Piemonte; 	2; 	8; 	-0; 	2; 	-0; 	12;; 	12; 	4; 	-0; 	-0; 	-0; 	16;; 	14; 	12; 	-0; 	2; 	-0; 	28
"Valle d'Aosta
/Vallée d'Aoste"; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0
Liguria; 	-0; 	1; 	-0; 	2; 	-0; 	3;; 	4; 	2; 	-0; 	1; 	-0; 	7;; 	4; 	3; 	-0; 	3; 	-0; 	10
Lombardia ; 	1; 	5; 	4; 	10; 	1; 	21;; 	10; 	7; 	2; 	2; 	-0; 	21;; 	11; 	12; 	6; 	12; 	1; 	42
Trentino-Alto Adige/Südtirol; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	2; 	-0; 	1; 	1; 	-0; 	4;; 	2; 	-0; 	1; 	1; 	-0; 	4
Bolzano/Bozen; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	2; 	-0; 	-0; 	1; 	-0; 	3;; 	2; 	-0; 	-0; 	1; 	-0; 	3
Trento; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	1; 	-0; 	-0; 	1;; 	-0; 	-0; 	1; 	-0; 	-0; 	1
Veneto ; 	-0; 	3; 	2; 	2; 	-0; 	7;; 	5; 	1; 	1; 	-0; 	-0; 	7;; 	5; 	4; 	3; 	2; 	-0; 	14
Friuli-Venezia Giulia ; 	-0; 	-0; 	-0; 	1; 	-0; 	1;; 	2; 	-0; 	-0; 	-0; 	-0; 	2;; 	2; 	-0; 	-0; 	1; 	-0; 	3
Emilia-Romagna; 	-0; 	2; 	2; 	3; 	-0; 	7;; 	3; 	3; 	-0; 	-0; 	-0; 	6;; 	3; 	5; 	2; 	3; 	-0; 	13
Toscana; 	-0; 	1; 	2; 	4; 	-0; 	7;; 	3; 	3; 	1; 	-0; 	-0; 	7;; 	3; 	4; 	3; 	4; 	-0; 	14
Umbria; 	-0; 	-0; 	-0; 	1; 	-0; 	1;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	1; 	-0; 	1
Marche; 	-0; 	-0; 	-0; 	4; 	-0; 	4;; 	3; 	1; 	-0; 	1; 	-0; 	5;; 	3; 	1; 	-0; 	5; 	-0; 	9
Lazio; 	1; 	5; 	3; 	7; 	3; 	19;; 	4; 	3; 	1; 	-0; 	-0; 	8;; 	5; 	8; 	4; 	7; 	3; 	27
Abruzzo; 	-0; 	1; 	-0; 	1; 	-0; 	2;; 	1; 	-0; 	-0; 	-0; 	-0; 	1;; 	1; 	1; 	-0; 	1; 	-0; 	3
Molise; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0
