;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
"Vittime di omicidio secondo la relazione con l'omicida e il sesso per regione
Anno 2020 (a) (tassi per 100.000 abitanti)";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
"REGIONI
RIPARTIZIONI GEOGRAFICHE";MASCHI;;;;;;;FEMMINE;;;;;;;TOTALE;;;;;;
;"Partner o ex  partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale;;"Partner o ex partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale;;"Partner o ex partner 
(b)";"Altro 
parente";"Altro 
cono-
scente ";"Autore scono-
sciuto alla vittima";"Autore 
non 
identi-
ficato";Totale;
;;;;;;;;;;;;;;;;;;;;;
Piemonte; 	0,10; 	0,38; 	-0; 	0,10; 	-0; 	0,58;; 	0,54; 	0,18; 	-0; 	-0; 	-0; 	0,73;; 	0,33; 	0,28; 	-0; 	0,05; 	-0; 	0,65;
"Valle d'Aosta
/Vallée d'Aoste"; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;
Liguria; 	-0; 	0,14; 	-0; 	0,28; 	-0; 	0,41;; 	0,51; 	0,25; 	-0; 	0,13; 	-0; 	0,89;; 	0,26; 	0,20; 	-0; 	0,20; 	-0; 	0,66;
Lombardia ; 	0,02; 	0,10; 	0,08; 	0,20; 	0,02; 	0,43;; 	0,20; 	0,14; 	0,04; 	0,04; 	-0; 	0,41;; 	0,11; 	0,12; 	0,06; 	0,12; 	0,01; 	0,42;
Trentino-Alto Adige/Südtirol; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	0,37; 	-0; 	0,18; 	0,18; 	-0; 	0,73;; 	0,19; 	-0; 	0,09; 	0,09; 	-0; 	0,37;
Bolzano/Bozen; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	0,74; 	-0; 	-0; 	0,37; 	-0; 	1,11;; 	0,38; 	-0; 	-0; 	0,19; 	-0; 	0,56;
Trento; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	0,36; 	-0; 	-0; 	0,36;; 	-0; 	-0; 	0,18; 	-0; 	-0; 	0,18;
Veneto ; 	-0; 	0,13; 	0,08; 	0,08; 	-0; 	0,29;; 	0,20; 	0,04; 	0,04; 	-0; 	-0; 	0,28;; 	0,10; 	0,08; 	0,06; 	0,04; 	-0; 	0,29;
Friuli-Venezia Giulia ; 	-0; 	-0; 	-0; 	0,17; 	-0; 	0,17;; 	0,32; 	-0; 	-0; 	-0; 	-0; 	0,32;; 	0,17; 	-0; 	-0; 	0,08; 	-0; 	0,25;
Emilia-Romagna; 	-0; 	0,09; 	0,09; 	0,14; 	-0; 	0,32;; 	0,13; 	0,13; 	-0; 	-0; 	-0; 	0,26;; 	0,07; 	0,11; 	0,04; 	0,07; 	-0; 	0,29;
Toscana; 	-0; 	0,06; 	0,11; 	0,22; 	-0; 	0,39;; 	0,16; 	0,16; 	0,05; 	-0; 	-0; 	0,37;; 	0,08; 	0,11; 	0,08; 	0,11; 	-0; 	0,38;
Umbria; 	-0; 	-0; 	-0; 	0,24; 	-0; 	0,24;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	0,12; 	-0; 	0,12;
Marche; 	-0; 	-0; 	-0; 	0,55; 	-0; 	0,55;; 	0,39; 	0,13; 	-0; 	0,13; 	-0; 	0,65;; 	0,20; 	0,07; 	-0; 	0,33; 	-0; 	0,60;
