"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","ISO","Nazionalità","TIPOVIOLENZA","Caratteristiche della violenza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2022","2022",15,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2022","2022",15,,
"ITNI","Non indicato","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2022","2022",3,,
"ITNI","Non indicato","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2022","2022",3,,
"ITNI","Non indicato","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2022","2022",18,,
"ITNI","Non indicato","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2022","2022",18,,
"ITNI","Non indicato","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","ALL","tutte le voci","2022","2022",15,,
"ITNI","Non indicato","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","UNAV","non disponibile","2022","2022",15,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","PHY","violenza fisica ","2022","2022",253,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",67,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",136,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","ECON_VIOL","violenza economica","2022","2022",5,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","ALL","tutte le voci","2022","2022",3729,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","THREATS","minacce","2022","2022",41,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","HARASS_WORK","mobbing","2022","2022",1,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","NRP","non risponde","2022","2022",16,,
"IT","Italia","USERS","utenti del 1522","M","maschi","IT","Italia","UNAV","non disponibile","2022","2022",3209,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","PHY","violenza fisica ","2022","2022",4107,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",763,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",3347,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","ECON_VIOL","violenza economica","2022","2022",111,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","ALL","tutte le voci","2022","2022",26288,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","THREATS","minacce","2022","2022",507,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","HARASS_WORK","mobbing","2022","2022",39,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","NRP","non risponde","2022","2022",137,,
"IT","Italia","USERS","utenti del 1522","F","femmine","IT","Italia","UNAV","non disponibile","2022","2022",17277,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","PHY","violenza fisica ","2022","2022",4360,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",830,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",3483,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","ECON_VIOL","violenza economica","2022","2022",116,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","ALL","tutte le voci","2022","2022",30017,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","THREATS","minacce","2022","2022",548,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","HARASS_WORK","mobbing","2022","2022",40,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","NRP","non risponde","2022","2022",153,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","TRAFF","tratta","2022","2022",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","IT","Italia","UNAV","non disponibile","2022","2022",20486,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","PHY","violenza fisica ","2022","2022",59,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",13,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",24,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","ECON_VIOL","violenza economica","2022","2022",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","ALL","tutte le voci","2022","2022",600,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","THREATS","minacce","2022","2022",6,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","NRP","non risponde","2022","2022",8,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","IT","Italia","UNAV","non disponibile","2022","2022",488,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","PHY","violenza fisica ","2022","2022",978,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",201,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",861,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","ECON_VIOL","violenza economica","2022","2022",23,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","ALL","tutte le voci","2022","2022",4854,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","THREATS","minacce","2022","2022",129,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","HARASS_WORK","mobbing","2022","2022",10,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","NRP","non risponde","2022","2022",28,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","IT","Italia","UNAV","non disponibile","2022","2022",2624,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","PHY","violenza fisica ","2022","2022",1037,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",214,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",885,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","ECON_VIOL","violenza economica","2022","2022",24,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","ALL","tutte le voci","2022","2022",5454,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","THREATS","minacce","2022","2022",135,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","HARASS_WORK","mobbing","2022","2022",10,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","NRP","non risponde","2022","2022",36,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","TRAFF","tratta","2022","2022",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","IT","Italia","UNAV","non disponibile","2022","2022",3112,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","IT","Italia","PHY","violenza fisica ","2022","2022",12,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",8,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","IT","Italia","ALL","tutte le voci","2022","2022",158,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","IT","Italia","NRP","non risponde","2022","2022",2,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","IT","Italia","UNAV","non disponibile","2022","2022",136,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","PHY","violenza fisica ","2022","2022",245,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",49,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",265,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","ECON_VIOL","violenza economica","2022","2022",7,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","ALL","tutte le voci","2022","2022",1349,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","THREATS","minacce","2022","2022",37,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","HARASS_WORK","mobbing","2022","2022",3,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","NRP","non risponde","2022","2022",4,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","IT","Italia","UNAV","non disponibile","2022","2022",739,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","PHY","violenza fisica ","2022","2022",257,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",49,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",273,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","ECON_VIOL","violenza economica","2022","2022",7,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","ALL","tutte le voci","2022","2022",1507,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","THREATS","minacce","2022","2022",37,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","HARASS_WORK","mobbing","2022","2022",3,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","NRP","non risponde","2022","2022",6,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","IT","Italia","UNAV","non disponibile","2022","2022",875,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","M","maschi","IT","Italia","ALL","tutte le voci","2022","2022",4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","M","maschi","IT","Italia","UNAV","non disponibile","2022","2022",3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","F","femmine","IT","Italia","PHY","violenza fisica ","2022","2022",5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","F","femmine","IT","Italia","SEXVIOL","violenza sessuale","2022","2022",3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","F","femmine","IT","Italia","PHYVIOL","violenza psicologica","2022","2022",2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","F","femmine","IT","Italia","ALL","tutte le voci","2022","2022",20,,
