"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","MOTIVOPS1","Motivi della chiamata","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2020","2020",1,,
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","NRP","Non Indicato","2022","2022",3,,
